codigolocal;comuna;merchan;latitud;longitud
2099677;LA FLORIDA;CIGUTIERREZ;-335137448;-705964671
639404;LA FLORIDA;CIGUTIERREZ;-335138339;-705954355
1501109;LA FLORIDA;CIGUTIERREZ;-335153509;-706073715
2311577;LA FLORIDA;CIGUTIERREZ;-335155109;-706038520
2084622;LA FLORIDA;CIGUTIERREZ;-335158244;-706081718
886097;LA FLORIDA;CIGUTIERREZ;-335162637;-705793410
1329634;MAIPU;CIGUTIERREZ;-338551087;-707604003
1306943;MAIPU;CIGUTIERREZ;-338058157;-707294153
2055590;LA FLORIDA;CIGUTIERREZ;-335206635;-706360626
643169;LA FLORIDA;CIGUTIERREZ;-335249596;-706184090
1668464;LA FLORIDA;CIGUTIERREZ;-335298032;-706274568
2398637;LA FLORIDA;CIGUTIERREZ;-335305936;-706297536
2385862;LA FLORIDA;CIGUTIERREZ;-335307883;-706307546
2297043;LA FLORIDA;CIGUTIERREZ;-335341490;-706078931
2404078;LA FLORIDA;CIGUTIERREZ;-335342503;-706207331
1760102;PIRAMIDE;CIGUTIERREZ;-335547242;-706450831
863739;PIRAMIDE;CIGUTIERREZ;-335528570;-706424247
645931;LA FLORIDA;CIGUTIERREZ;-335391883;-706007558
807251;LA FLORIDA;CIGUTIERREZ;-335394215;-705992198
2402371;LA FLORIDA;CIGUTIERREZ;-335396458;-705978613
2379130;LA FLORIDA;CIGUTIERREZ;-335422456;-706037622
652074;LA FLORIDA;CIGUTIERREZ;-335437066;-705820440
2149217;LA FLORIDA;CIGUTIERREZ;-335431284;-705949007
683811;LA FLORIDA;CIGUTIERREZ;-335451560;-706328300
1890575;LA FLORIDA;CIGUTIERREZ;-335454622;-706298493
2389876;LA FLORIDA;CIGUTIERREZ;-335458862;-705980505
2305455;LA FLORIDA;CIGUTIERREZ;-335556543;-706207297
646872;LA FLORIDA;CIGUTIERREZ;-335560882;-706238315
646627;LA FLORIDA;CIGUTIERREZ;-335590750;-706047340
663347;PIRAMIDE;CIGUTIERREZ;-335496756;-706435960
648641;LA FLORIDA;CIGUTIERREZ;-335855631;-706286842
1332870;LA FLORIDA;CIGUTIERREZ;-335603430;-706055410
649600;LA FLORIDA;CIGUTIERREZ;-335609850;-705874600
716901;LA FLORIDA;CIGUTIERREZ;-335855631;-706286842
2303675;LA FLORIDA;CIGUTIERREZ;-335609373;-706106042
2340369;LA FLORIDA;CIGUTIERREZ;-335618540;-705966410
671309;LA FLORIDA;CIGUTIERREZ;-335450822;-706035544
877693;PIRAMIDE;CIGUTIERREZ;-335451251;-706492952
665237;PIRAMIDE;CIGUTIERREZ;-335382419;-706486685
1310036;LA FLORIDA;CIGUTIERREZ;-335681209;-705844580
1507176;LA FLORIDA;CIGUTIERREZ;-335530100;-705890453
834642;LA FLORIDA;CIGUTIERREZ;-335795000;-705863000
872010;MAIPU;CIGUTIERREZ;-337987533;-707564168
2302659;LA FLORIDA;CIGUTIERREZ;-335797650;-706034930
2045590;LA FLORIDA;CIGUTIERREZ;-335808363;-706377171
1449055;LA FLORIDA;CIGUTIERREZ;-335820777;-706381117
2192841;LA FLORIDA;CIGUTIERREZ;-336070145;-705923698
2287729;LA FLORIDA;CIGUTIERREZ;-336109340;-705818180
687594;LA FLORIDA;CIGUTIERREZ;-336110720;-705988478
2268667;LA FLORIDA;CIGUTIERREZ;-336118114;-705877983
2012188;LA FLORIDA;CIGUTIERREZ;-336120622;-705407178
1468234;MAIPU;CIGUTIERREZ;-338050261;-708549855
2330576;MAIPU;CIGUTIERREZ;-338045179;-707600376
2406769;LA FLORIDA;CIGUTIERREZ;-336278297;-706014371
2131694;LA FLORIDA;CIGUTIERREZ;-336251312;-705938296
1916673;MAIPU;CIGUTIERREZ;-337978356;-707743766
1302117;MAIPU;CIGUTIERREZ;-337116399;-707409663
988038;MAIPU;CIGUTIERREZ;-337364015;-707369654
2363573;LA FLORIDA;CIGUTIERREZ;-335226882;-705987142
1478658;MAIPU;CIGUTIERREZ;-337894027;-708196824
648263;MAIPU;CIGUTIERREZ;-338335560;-706410858
2008010;MAIPU;CIGUTIERREZ;-337923827;-708218160
701638;MAIPU;CIGUTIERREZ;-337617557;-707392993
1760526;MAIPU;CIGUTIERREZ;-337623485;-707360807
2367953;MAIPU;CIGUTIERREZ;-337383031;-707422756
2132209;MAIPU;CIGUTIERREZ;-337358183;-707352879
667976;MAIPU;CIGUTIERREZ;-337380535;-706788960
2295429;MAIPU;CIGUTIERREZ;-337356762;-707582976
2347886;MAIPU;CIGUTIERREZ;-337347951;-707212335
1659835;MAIPU;CIGUTIERREZ;-337333928;-707371350
675062;MAIPU;CIGUTIERREZ;-337333820;-707822601
2202082;MAIPU;CIGUTIERREZ;-337323311;-707187584
659763;MAIPU;CIGUTIERREZ;-337321702;-707473860
2255388;MAIPU;CIGUTIERREZ;-337346529;-707033791
2265897;MAIPU;CIGUTIERREZ;-337268138;-707714385
704257;MAIPU;CIGUTIERREZ;-337296646;-707768252
874523;MAIPU;CIGUTIERREZ;-337280482;-707181439
2275243;MAIPU;CIGUTIERREZ;-337277410;-707355507
2086917;MAIPU;CIGUTIERREZ;-337322813;-706841190
1489600;MAIPU;CIGUTIERREZ;-336903772;-706992128
2340582;MAIPU;CIGUTIERREZ;-336847664;-706728707
2211995;MAIPU;CIGUTIERREZ;-336690371;-706651538
652816;MAIPU;CIGUTIERREZ;-337021948;-706753007
882987;MAIPU;CIGUTIERREZ;-338081250;-707363652
647485;MAIPU;CIGUTIERREZ;-338728584;-709095716
659316;MAIPU;CIGUTIERREZ;-338696082;-707466554
753261;MAIPU;CIGUTIERREZ;-338662968;-707475353
